epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2957.14,1.86919,2.08701,1.87551,0.29524,0.44799,0.29272,0.11866,2.13841,2.1466,2.14663,0.000990365,0.000990365,0.000990365
43,3028.2,1.84073,2.06475,1.8842,0.31763,0.43987,0.28832,0.11258,2.12484,2.05453,2.1767,0.000973861,0.000973861,0.000973861
44,3099.32,1.85722,2.08343,1.88383,0.2465,0.46838,0.28883,0.10763,2.12025,2.12322,2.13888,0.000957358,0.000957358,0.000957358
45,3170.9,1.83674,2.05929,1.85397,0.24404,0.46838,0.25964,0.10709,2.12711,2.20555,2.12796,0.000940855,0.000940855,0.000940855
46,3241.87,1.80875,2.06085,1.83551,0.28935,0.50127,0.29338,0.11873,2.11069,2.08563,2.13937,0.000924352,0.000924352,0.000924352
47,3312.88,1.8079,1.96423,1.84182,0.2251,0.51703,0.28724,0.11446,2.12457,2.08639,2.13177,0.000907848,0.000907848,0.000907848
48,3384.36,1.81219,2.03061,1.84196,0.23131,0.45588,0.2821,0.10944,2.10137,2.13517,2.11877,0.000891345,0.000891345,0.000891345
49,3455.45,1.80799,1.99893,1.8352,0.368,0.3054,0.30506,0.12003,2.12319,2.0778,2.15212,0.000874842,0.000874842,0.000874842
50,3526.41,1.7975,1.9821,1.81166,0.27351,0.49495,0.30098,0.11728,2.12674,2.11601,2.13377,0.000858338,0.000858338,0.000858338
51,3597.64,1.75683,1.92772,1.79106,0.28304,0.50757,0.29498,0.11836,2.11983,2.07927,2.14365,0.000841835,0.000841835,0.000841835
52,3668.98,1.78984,1.97416,1.81321,0.34425,0.45548,0.31255,0.12758,2.09583,2.08035,2.12754,0.000825332,0.000825332,0.000825332
53,3740.14,1.76929,1.93481,1.7934,0.31671,0.51404,0.32945,0.13042,2.16752,2.09384,2.18379,0.000808828,0.000808828,0.000808828
54,3811.26,1.7625,1.95667,1.79415,0.33017,0.41672,0.29874,0.11753,2.11189,2.06004,2.16159,0.000792325,0.000792325,0.000792325
